beam_index,beamcode,range_index,x_km,y_km,z_km,altitude_km,dz_from_h0_km,Ne,log10_Ne,dNe,rel_dNe,x_norm,y_norm,log10_Ne_norm
15,59567.0,10,183.8325928526414,293.28163214710014,395.80330577094475,405.2368720348114,-4.763127965188573,20659123430.213284,10.315111890392817,1960029405.1028287,0.09487476134811948,-0.015666960863297108,-0.08622323476766602,0.12655078787822105
16,59591.0,10,248.7034687751825,258.3508796280547,390.66528517340504,400.6956950371125,-9.3043049628875,99794660746.0671,10.999107306111515,6423040348.493754,0.06436256509591758,0.22175908565076297,-0.20975277049286611,0.8004832981173329
17,59615.0,11,330.89615735975013,233.1621845790848,402.3973931549208,414.95814831558874,4.958148315588744,77297872960.64032,10.888167543411646,1022996253.4383059,0.013234468352825313,0.5225826035310621,-0.29883037634250753,0.691175675517121
18,60557.0,10,-37.415011416664555,333.56234158667894,404.7283978236548,413.6906728233702,3.690672823370221,90029752388.03874,10.954386055690929,9664457601.910847,0.10734737512390244,-0.8254285562684807,0.05622595332353941,0.7564199844395509
19,60581.0,9,28.689717075903626,288.96476616154894,388.8733392063468,395.6979334413136,-14.30206655868642,79171776010.53017,10.898570387303257,12187341370.26001,0.1539354298258895,-0.5834866352033734,-0.10148945185509617,0.7014254733028751
20,60605.0,9,90.46584993250754,261.98897349205475,392.9111777249635,399.1359827958074,-10.864017204192578,108296454272.73213,11.034614237650295,8618988990.56594,0.07958699154507876,-0.3573872834606252,-0.19688697134640942,0.8354678535001712
21,60629.0,9,150.7537898020884,232.58458052016107,392.9111777249635,399.08819708606563,-10.911802913934366,37790440770.12073,10.577381957355355,7259665317.795229,0.1921032189583545,-0.13673468686545254,-0.30087302232309265,0.3849623510652682
22,60653.0,9,210.0441896071258,200.5122798258995,388.8733392063468,395.5541386975332,-14.445861302466824,1485045882.632308,9.171739872014305,371758667.4853899,0.25033480233380506,0.08026693399683915,-0.41429389443974673,-1.0
23,60677.0,10,285.8856932966517,175.87805199168596,404.7283978236548,413.43498974134843,3.4349897413484314,14052137698.542988,10.147742396843329,4389204359.794637,0.3123513627574071,0.35784524824970254,-0.5014106757243761,-0.03835637426516403
24,61619.0,9,-52.97783418205133,266.580711954454,396.64790295157854,402.6598394004667,-7.340160599533306,100408266697.07576,11.001769470111075,12803530886.754065,0.12751470877772805,-0.8823881614724681,-0.1806486919070398,0.8031062964966513
