h0_km,half_width_km,n_points,n_beams,beam_fraction,area_km2,dz_rms_km,dz_max_abs_km,median_rel_dNe,log10_Ne_std,area_norm,uncertainty_penalty,dz_penalty,score
285.0,15.0,42,42,1.0,85831.57993267797,9.130068779379204,14.536877814904358,0.09994788688491009,0.257947783508161,0.43691770209287006,0.09994788688491009,0.6086712519586136,5.032634189228654
270.0,15.0,42,42,1.0,74075.23341400616,7.6891361078200875,13.974650443980181,0.100472591005413,0.2348829923244357,0.3770731098113991,0.100472591005413,0.5126090738546725,5.0202959818786494
265.0,15.0,42,42,1.0,73095.90730623627,7.575385077610111,14.283922997742707,0.10067570630265348,0.22659064725389402,0.3720879410315399,0.10067570630265348,0.505025671840674,5.01889939880855
260.0,15.0,42,42,1.0,73095.90730623627,7.717486760067295,12.421523746356883,0.10610201256601672,0.20137862577598853,0.3720879410315399,0.10610201256601672,0.5144991173378197,5.008736369796614
360.0,15.0,40,40,0.9523809523809523,123945.90703564603,8.48869706929193,14.329317642646743,0.1101257533065907,0.32149832619138663,0.6309351514711345,0.1101257533065907,0.5659131379527954,4.999757591092908
440.0,15.0,37,37,0.8809523809523809,190155.28287813455,7.964936844645606,14.52043458929063,0.11441028903978227,0.460035307503846,0.9679678423850497,0.11441028903978227,0.5309957896430404,4.992821563285652
335.0,15.0,40,40,0.9523809523809523,110919.02085167896,7.836839031729454,14.715448993264886,0.10422504761998785,0.2816441290710455,0.5646229947872132,0.10422504761998785,0.5224559354486302,4.961074741347673
430.0,15.0,37,37,0.8809523809523809,177907.8637699309,7.962271599223525,14.53944376072559,0.10494500275848098,0.3972601590793551,0.9056234906030857,0.10494500275848098,0.5308181066149017,4.9400313392990585
305.0,15.0,40,40,0.9523809523809523,97019.69508905082,7.602398966596863,13.739474153549168,0.09964157343252553,0.30032253641466583,0.4938697652927665,0.09964157343252553,0.5068265977731242,4.902719654878441
320.0,15.0,40,40,0.9523809523809523,100262.02403761378,8.46610845302651,14.719874967921385,0.10558633349232888,0.327074147168356,0.5103745402805561,0.10558633349232888,0.5644072302017674,4.884489353592105
415.0,15.0,37,37,0.8809523809523809,170701.88601322717,8.804955862985727,14.800657752676045,0.10494500275848098,0.29271497077550196,0.8689421287399953,0.10494500275848098,0.5869970575323818,4.875260501977228
