beam_index,beamcode,range_index,x_km,y_km,z_km,altitude_km,dz_from_h0_km,Ne,log10_Ne,dNe,rel_dNe,x_norm,y_norm,log10_Ne_norm
10,58502.0,8,236.81027216575177,261.71558507856116,313.1439884683835,322.9954184878615,-7.004581512138486,116983479082.63884,11.068124533114876,8268313838.057071,0.07067932927705299,0.3991327988870619,0.031046619704457656,0.6351800550346567
11,58526.0,9,316.5523104780279,245.80872178420205,326.2889449718215,338.77181122383456,8.771811223834561,41043698895.16944,10.613246492877968,3255580310.3700147,0.07931985659199868,0.7615217547991597,-0.03946849352209092,-0.14986526561517355
12,59495.0,8,-16.20667925069254,327.8512600306541,326.30946077298336,335.0009019949397,5.000901994939682,135234177814.50513,11.131086464981468,13480429428.755934,0.09968211916995166,-0.7507067436237507,0.32422601788378547,0.74384208225672
13,59519.0,7,40.19538911768297,282.7813239397625,311.1580803547141,317.84643522632587,-12.153564773674134,174580663337.31287,11.241996139306783,20314203632.461983,0.11635998651931034,-0.4943866507355338,0.12443102450570387,0.9352540941413523
14,59543.0,7,93.72426744996513,258.62832350317706,314.5615040029652,320.76698509310506,-9.233014906894937,176454966445.0247,11.246633886381536,15606916979.50646,0.08844702585556788,-0.25112381546643425,0.017360791422688093,0.9432580893166218
15,59567.0,7,146.09947933571956,233.0832258334526,314.5615040029652,320.72498200180763,-9.275017998192368,23127710456.16125,10.3641326416132,4872530910.258181,0.2106793458649571,-0.013103835633143657,-0.09588060766588302,-0.5797951499916768
16,59591.0,7,198.08797161819717,205.77196596143787,311.1580803547141,317.7197704243074,-12.280229575692601,15683563054.828423,10.195444734321851,4057730625.608369,0.258725049366836,0.2231586908389298,-0.21695140249177158,-0.8709229700999297
17,59615.0,8,268.32814654528016,189.07435290804784,326.30946077298336,334.77316489891496,4.773164898914956,32179715766.69208,10.50758220379339,3577114743.509665,0.11116054502918236,0.5423662781246699,-0.29097190881563206,-0.332224597937385
18,60557.0,7,-29.735280357474167,265.0959967195882,321.6546493570621,327.5287116916137,-2.471288308386306,132176678262.19363,11.121154833398183,15307991643.28685,0.11581461907312418,-0.8121876855936413,0.04603198201054437,0.7267017056915746
19,60581.0,7,24.43647467016529,246.125821673148,331.2229771481351,336.3161350350422,6.31613503504218,151148268383.80835,11.179403176087673,15519256839.39575,0.10267571706470333,-0.5660032870018384,-0.038062789948773657,0.8272288466372577
20,60605.0,7,76.92887963320054,222.78592664560622,334.1174235393045,338.75269576229516,8.752695762295161,70357116433.40968,10.84730803171321,9443538064.135706,0.13422292644801118,-0.32745072137296527,-0.14152852735449484,0.2540867820831625
21,60629.0,7,128.19555841884983,197.78149669430698,334.1174235393045,338.7117426718053,8.711742671805325,37755691052.39077,10.57698242368346,3443776675.8814025,0.09121212140184984,-0.09446848776793049,-0.25237314684691425,-0.21245113547611993
22,60653.0,7,178.90519817153898,170.7863913073587,331.2229771481351,336.1927121867492,6.1927121867491906,66071931425.196075,10.820017002359169,4377708505.735484,0.06625670555267096,0.1359822731304976,-0.3720424290741846,0.20698691575646833
23,60677.0,7,227.20536272723243,139.77767176010715,321.6546493570621,327.32321134629103,-2.676788653708968,78725416683.45828,10.896114967979242,6590741460.573911,0.08371808925539484,0.35548313583951674,-0.5095040599074702,0.3383195951487219
24,61619.0,7,-45.05042988110153,226.69057459557393,337.294999225545,341.7761943553955,11.77619435539549,132169846415.57886,11.121132385338461,15972384134.306017,0.12084741389563537,-0.8817876251358259,-0.12421922587835632,0.7266629640010911
25,61643.0,6,7.429230259260089,189.9315395260637,315.5918179377678,318.73947415354917,-11.260525846450832,129859028582.29526,11.1134721497848,13452041822.613716,0.10358957686248813,-0.6432929785554211,-0.28717200117154584,0.7134426465873389
26,61667.0,6,54.311231211324234,169.26116933680674,317.54549623340307,320.32103611748215,-9.678963882517849,65802199211.39663,10.818240408650633,6358719036.396593,0.09663383766199858,-0.43023698280125944,-0.37880373694229397,0.20392080472403462
27,61691.0,6,99.94228887113526,147.00541546538904,317.54549623340307,320.2845510067351,-9.715448993264886,42925431927.17833,10.632714673842187,3848513387.04972,0.08965578712355426,-0.22286591864879035,-0.4774634774042458,-0.11626635994022672
28,61715.0,6,145.09420473366825,122.78784517080737,315.5918179377678,318.6293881697094,-11.370611830290613,22706942257.697044,10.356158655575191,2620850232.587876,0.11542065870623676,-0.017672321981783257,-0.5848199486200328,-0.5935569495782325
29,61739.0,7,206.37042464725312,104.06443039701865,337.294999225545,341.5757997837296,11.575799783729622,19246985774.22653,10.284362725318815,4838478318.604437,0.2513888863098554,0.2607984297911319,-0.6678208324730763,-0.7174650174641107
30,62708.0,6,-55.87517773677993,172.88970434712624,320.491019159504,323.37656599967477,-6.623434000325233,112547255634.24492,11.05133490957701,13171176797.734812,0.11702796948277785,-0.9309808631876191,-0.3627184439235308,0.6062039026861958
31,62732.0,6,-7.721989804103316,156.76599581572765,328.3275634003942,330.5606111240535,0.5606111240534801,78497781022.81332,10.894857380271771,8919533798.830778,0.11362784632394321,-0.7121479380694347,-0.43419483192559716,0.3361492038400038
32,62756.0,6,38.80455244900844,136.7678641615282,330.10633369826616,331.9772734636218,1.9772734636218274,50551736742.69233,10.703736080694796,6571305652.381329,0.1299916892238379,-0.5007073300017375,-0.5228465347673117,0.006305006852001638
33,62780.0,6,83.88407969699918,114.7811096455404,330.10633369826616,331.9413350292449,1.9413350292448968,46516234165.02733,10.667604548112541,4421804575.457224,0.09505938420917368,-0.29584270453987005,-0.6203138012854699,-0.05605212642889523
34,62804.0,6,128.28742213790372,90.42977325993199,328.3275634003942,330.45217234960035,0.452172349600346,24895476681.123238,10.39612044625717,1930355572.6323597,0.0775384057657363,-0.09405101164192808,-0.728263257483907,-0.5245894154160289
35,62828.0,6,170.6391405729316,62.411289530699136,320.491019159504,323.19583256410283,-6.80416743589717,54988165162.86976,10.740269228448282,4537462824.662131,0.08251708001571964,0.09841704347160829,-0.8524691751461085,0.06935526242720202
36,63842.0,6,-71.06252426647966,138.27271765750393,329.0364245118699,331.204348197616,1.2043481976160137,187978955054.0679,11.274109231096217,14290610841.709118,0.07602239749443626,-1.0,-0.5161755203319436,0.9906760538995403
37,63866.0,6,-23.185230218487593,122.93957285601624,336.9417457535963,338.44969546205493,8.449695462054933,98926974033.7586,10.995314725133818,9684819991.101383,0.09789867814815058,-0.7824208790098445,-0.5841473399036494,0.5095221995286565
38,63890.0,6,23.021006709237415,103.66978324241735,338.66170046122147,339.8130325666821,9.813032566682125,46122869293.547516,10.663916316827203,5308264467.714499,0.11508964097463714,-0.5724359035657507,-0.6695703030177258,-0.06241741218883401
39,63914.0,6,67.51975706501183,81.96629254344946,338.66170046122147,339.77764253035934,9.777642530359344,55103722088.3419,10.741180935110089,5102807852.884866,0.09260368736442304,-0.37021062788779446,-0.7657818612444054,0.07092871945380153
40,63938.0,6,111.15195849643698,57.418948063425454,336.9417457535963,338.3428505654009,8.342850565400909,33566608546.460274,10.52590746385858,3550487146.4546185,0.10577437817527237,-0.17192339751928876,-0.8746002211805103,-0.3005981873584618
41,63962.0,6,152.71084697480543,29.131152049882466,329.0364245118699,331.0262391236745,1.026239123674486,29182055835.116688,10.465115884075479,5543070066.366736,0.1899478946132505,0.01694162930088372,-1.0,-0.4055145408029569
