combo_id,first_omega_0,hidden_omega_0,final_step,train_mse_raw_minus1_1,full_mse_raw_minus1_1,mse,psnr,rmse,mae,max_abs,p95_abs,p99_abs,bias,output_dir
0,20.0,5.0,10000,0.002579886931926012,0.0025760175194591284,0.0006436166586354375,31.913727236472504,0.02536960132420063,0.01449269987642765,0.31617602705955505,0.059460900723934174,0.09934598207473755,-0.0001960391236934811,omega_sweep_hidden_only_512_20_15_10/combo000_f20p0_h5p0
1,20.0,10.0,10000,0.0018257079645991325,0.0018239126075059175,0.0004557780339382589,33.412466093208074,0.02134895883500576,0.012533624656498432,0.2899487614631653,0.04966609552502632,0.08313721418380737,4.940364306094125e-05,omega_sweep_hidden_only_512_20_15_10/combo001_f20p0_h10p0
2,20.0,15.0,10000,0.0013133344473317266,0.0013119317591190338,0.00032781611662358046,34.843696987562815,0.01810569316148758,0.011363346129655838,0.2216293215751648,0.041085273027420044,0.06830228865146637,-0.0003250021836720407,omega_sweep_hidden_only_512_20_15_10/combo002_f20p0_h15p0
3,20.0,20.0,10000,0.001039933878928423,0.0010397795122116804,0.0002598363789729774,35.853000446364724,0.016119441017508507,0.010169320739805698,0.16126367449760437,0.03657345846295357,0.06112632155418396,0.0002602872846182436,omega_sweep_hidden_only_512_20_15_10/combo003_f20p0_h20p0
4,20.0,30.0,10000,0.0007093375897966325,0.0007030008709989488,0.0001756202254910022,37.55425469561365,0.013252178207039833,0.009144660085439682,0.1428753137588501,0.02837212011218071,0.046631790697574615,-7.883716898504645e-05,omega_sweep_hidden_only_512_20_15_10/combo004_f20p0_h30p0
5,20.0,45.0,10000,0.0005896503571420908,0.0005826731794513762,0.0001455309975426644,38.37044493771227,0.01206362247467041,0.00844905897974968,0.11505687236785889,0.025353794917464256,0.042101383209228516,0.00034471089020371437,omega_sweep_hidden_only_512_20_15_10/combo005_f20p0_h45p0
6,20.0,60.0,10000,0.0006924334447830915,0.0006860095891170204,0.00017135569942183793,37.66101446026703,0.013090290129184723,0.009201182052493095,0.1273544430732727,0.027391040697693825,0.04553007334470749,-0.0003137804742436856,omega_sweep_hidden_only_512_20_15_10/combo006_f20p0_h60p0
7,20.0,90.0,10000,0.0015070275403559208,0.0014783962396904826,0.0003682390961330384,34.338701041170026,0.019189557060599327,0.013786187395453453,0.3392446041107178,0.03869487717747688,0.06165173649787903,0.00012967700604349375,omega_sweep_hidden_only_512_20_15_10/combo007_f20p0_h90p0
8,15.0,5.0,10000,0.0036435886286199093,0.0036467479076236486,0.0009103650809265673,30.407844089583932,0.030172256752848625,0.017315886914730072,0.44434958696365356,0.0702669769525528,0.11707985401153564,-0.0004979877267032862,omega_sweep_hidden_only_512_20_15_10/combo008_f15p0_h5p0
9,15.0,10.0,10000,0.00254393951036036,0.002541783032938838,0.0006351143820211291,31.971480526495345,0.025201475247740746,0.014503898099064827,0.34393373131752014,0.05891875922679901,0.09863187372684479,0.0002889760653488338,omega_sweep_hidden_only_512_20_15_10/combo009_f15p0_h10p0
10,15.0,15.0,10000,0.0019841003231704235,0.0019832793623209,0.0004955829354003072,33.04883656269087,0.022261692211031914,0.013212090358138084,0.297370582818985,0.05142844840884209,0.08708575367927551,9.370256157126278e-05,omega_sweep_hidden_only_512_20_15_10/combo010_f15p0_h15p0
11,15.0,20.0,10000,0.0016751394141465425,0.0016702732536941767,0.00041740413871593773,33.79443249059298,0.020430471748113632,0.012354619801044464,0.27327102422714233,0.047159627079963684,0.07822496443986893,-0.00024510460207238793,omega_sweep_hidden_only_512_20_15_10/combo011_f15p0_h20p0
12,15.0,30.0,10000,0.0011038980446755886,0.0011204066686332226,0.000279974628938362,35.528813222695604,0.016732443124055862,0.010637673549354076,0.20240703225135803,0.03781086206436157,0.062460221350193024,0.00012644525850191712,omega_sweep_hidden_only_512_20_15_10/combo012_f15p0_h30p0
13,15.0,45.0,10000,0.0009113539126701653,0.0009277741191908717,0.000231792131671682,36.349013105189655,0.015224721282720566,0.010421134531497955,0.13319796323776245,0.03282390534877777,0.054042987525463104,-0.00034574305755086243,omega_sweep_hidden_only_512_20_15_10/combo013_f15p0_h45p0
14,15.0,60.0,10000,0.0013257176615297794,0.001262960722669959,0.0003151593264192343,35.014698363966005,0.01775272749364376,0.012515603564679623,0.31551843881607056,0.036188773810863495,0.059364840388298035,-3.072286199312657e-05,omega_sweep_hidden_only_512_20_15_10/combo014_f15p0_h60p0
15,15.0,90.0,10000,0.000995283480733633,0.001043815165758133,0.00026079436065629125,35.83701803899986,0.0161491297185421,0.010200081393122673,0.198781818151474,0.0336468331515789,0.0631951317191124,6.213141023181379e-05,omega_sweep_hidden_only_512_20_15_10/combo015_f15p0_h90p0
16,10.0,5.0,10000,0.004643594846129417,0.0046478817239403725,0.0011599624995142221,29.35556050874201,0.03405822068452835,0.019540628418326378,0.4840722382068634,0.0786617174744606,0.13094091415405273,-0.0002183172618970275,omega_sweep_hidden_only_512_20_15_10/combo016_f10p0_h5p0
17,10.0,10.0,10000,0.0032674940302968025,0.0032659738790243864,0.0008157851989381015,30.884241784965184,0.028561953455209732,0.01637878268957138,0.3907450735569,0.06675887107849121,0.11072918027639389,0.0001237935503013432,omega_sweep_hidden_only_512_20_15_10/combo017_f10p0_h10p0
18,10.0,15.0,10000,0.002700157929211855,0.0027072064112871885,0.0006763280252926052,31.698426161562683,0.0260063074529171,0.015226406045258045,0.3769933581352234,0.060653891414403915,0.10128448158502579,-0.0003017077106051147,omega_sweep_hidden_only_512_20_15_10/combo018_f10p0_h15p0
19,10.0,20.0,10000,0.0025284811854362488,0.0025215414352715015,0.0006300623062998056,32.00616501428617,0.025101041421294212,0.014745878055691719,0.3551791310310364,0.05837845802307129,0.09707637876272202,4.387670924188569e-05,omega_sweep_hidden_only_512_20_15_10/combo019_f10p0_h20p0
20,10.0,30.0,10000,0.0022763218730688095,0.0021550175733864307,0.0005380503134801984,32.69177111238558,0.023195911198854446,0.015538143925368786,0.2592025101184845,0.051468148827552795,0.08371592313051224,-0.00018152769189327955,omega_sweep_hidden_only_512_20_15_10/combo020_f10p0_h30p0
21,10.0,45.0,10000,0.001445856294594705,0.00143267004750669,0.0003579778131097555,34.46143889396903,0.018920302391052246,0.01166527345776558,0.17421427369117737,0.043189115822315216,0.07273519784212112,0.00014615088002756238,omega_sweep_hidden_only_512_20_15_10/combo021_f10p0_h45p0
22,10.0,60.0,10000,0.0014545363374054432,0.001419261796399951,0.0003545711806509644,34.502965665154015,0.018830060958862305,0.012446142733097076,0.19007235765457153,0.04151853919029236,0.06939110159873962,8.327338582603261e-05,omega_sweep_hidden_only_512_20_15_10/combo022_f10p0_h60p0
23,10.0,90.0,10000,0.001853246707469225,0.0017970362678170204,0.00044838408939540386,33.483498064481054,0.02117508091032505,0.014025866985321045,0.22836992144584656,0.04531863331794739,0.07825791090726852,-0.00013681981363333762,omega_sweep_hidden_only_512_20_15_10/combo023_f10p0_h90p0
