combo_id,step,first_omega_0,hidden_omega_0,train_mse_raw_minus1_1,full_mse_raw_minus1_1,mse,psnr,rmse,mae,max_abs,p95_abs,p99_abs,bias,steps_since_last_eval,train_interval_sec,eval_interval_sec,total_interval_sec,train_it_per_sec,effective_it_per_sec,combo_elapsed_sec
3,500,60.0,20.0,0.004665139131247997,0.004647884517908096,0.0011612840462476015,29.350615402700235,0.03407761827111244,0.01922028698027134,0.487621545791626,0.07859669625759125,0.13186316192150116,-0.001092587597668171,500,30.061644118000004,0.0247477699999763,30.08639188799998,16.632490160463817,16.61880899049999,30.08639459899996
3,1000,60.0,20.0,0.002477934118360281,0.002475765999406576,0.0006187272374518216,32.085007651588334,0.024874228984117508,0.014382553286850452,0.3654581904411316,0.057921554893255234,0.09770744293928146,0.0005200325394980609,500,29.98761890800006,0.024072398000043904,30.011691306000102,16.67354789101347,16.660174026914547,60.09837276600001
3,1500,60.0,20.0,0.0015265962574630976,0.001540355384349823,0.0003848414635285735,34.147181424254136,0.01961737684905529,0.012723993510007858,0.26876842975616455,0.043681658804416656,0.07344750314950943,0.0004372227122075856,500,30.03717752400007,0.023968215999957465,30.06114574000003,16.646038050695473,16.63276590734494,90.15973378799981
3,2000,60.0,20.0,0.00088739104103297,0.000887318339664489,0.0002217335713794455,36.541685479271834,0.014890721067786217,0.009334412403404713,0.16483885049819946,0.033770471811294556,0.05647963285446167,-0.0001686695613898337,500,30.02695588200004,0.023994845999823156,30.05095072799986,16.651704620505004,16.63840869880123,120.21088797999982
3,2500,60.0,20.0,0.000598407699726522,0.0005991591606289148,0.0001497300254413858,38.246911016210376,0.012236421927809715,0.007970012724399567,0.11227595806121826,0.027093619108200073,0.045493364334106445,-0.00013436898007057607,500,30.01841698699991,0.024101656000311777,30.04251864300022,16.656441284579905,16.64307862937776,150.25361514299993
3,3000,60.0,20.0,0.00044022806105203927,0.00044469040585681796,0.00011112645734101534,39.54182530534566,0.010541653260588646,0.00714267510920763,0.10576033592224121,0.022657442837953568,0.038089167326688766,-0.00039899058174341917,500,30.018642639000063,0.024365274000047066,30.04300791300011,16.656316077076802,16.642807585975493,180.2968343729999
3,3500,60.0,20.0,0.00034748183679766953,0.00035133198252879083,8.779577910900116e-05,40.56526362838013,0.009369940496981144,0.006516800262033939,0.09026521444320679,0.0196710005402565,0.03290193900465965,-0.0004547937132883817,500,30.022226424999644,0.023830130000078498,30.046056554999723,16.654327794411934,16.641118913050803,210.3430806219999
3,4000,60.0,20.0,0.0003186677931807935,0.0003005088656209409,7.508225098717958e-05,41.244627155837684,0.008665001951158047,0.006247322075068951,0.08426600694656372,0.01768590696156025,0.029007822275161743,0.00037907599471509457,500,30.01790515699986,0.024052013000073202,30.041957169999932,16.656725290618933,16.64338968232412,240.38525642700006
3,4500,60.0,20.0,0.0002455140638630837,0.0002466298174113035,6.162592035252601e-05,42.102365816938004,0.007850217632949352,0.005691306199878454,0.07898586988449097,0.015966316685080528,0.02605760097503662,-0.00022951079881750047,500,30.019639393000034,0.023941905999890878,30.043581298999925,16.655763030804085,16.642489955638002,270.4290473369997
3,5000,60.0,20.0,0.0002766004472505301,0.00024417368695139885,6.101378676248714e-05,42.14572020098302,0.007811132352799177,0.005800667218863964,0.07627725601196289,0.015728643164038658,0.024599632248282433,-0.0011073211207985878,500,30.0166442980003,0.02413594000017838,30.04078023800048,16.657424961833918,16.644041733893395,300.47004443700007
3,5500,60.0,20.0,0.00017869772273115814,0.00016953265003394336,4.237045504851267e-05,43.72936871755517,0.006509259343147278,0.004700151272118092,0.07012248039245605,0.013198655098676682,0.02170693129301071,-0.00023952337505761534,500,30.02119517500023,0.023642524000024423,30.044837699000254,16.654899882745795,16.641794008314367,330.51509162699995
3,6000,60.0,20.0,0.00017393860616721213,0.00017560686683282256,4.3888278014492244e-05,43.57651458650924,0.006624822970479727,0.004929339047521353,0.06846100091934204,0.013240139931440353,0.020803134888410568,7.437098247464746e-05,500,30.01535323600001,0.02421111400008158,30.03956435000009,16.65814145409779,16.644715421780027,360.5548567689998
3,6500,60.0,20.0,0.00015216904284898192,0.00015293069009203464,3.8217716792132705e-05,44.177352621841166,0.006182048004120588,0.004596845246851444,0.06032240390777588,0.012366753071546555,0.01941027119755745,0.00047600024845451117,500,30.01831438299996,0.02483752399984951,30.04315190699981,16.65649821707381,16.642727818565003,390.59822394799994
3,7000,60.0,20.0,0.00011716664448613301,0.00011216307757422328,2.803217648761347e-05,45.52343181231357,0.005294542293995619,0.003818366676568985,0.05286437273025513,0.010668804869055748,0.0178387388586998,0.00010721384023781866,500,30.041026166999927,0.024145179000242933,30.06517134600017,16.643905478476967,16.630538846621917,420.66359905699983
